Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	600000
IndexSize:	14.31 MiB (estimated)
DataSize:	574.49 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:11:41 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 600000
Threads: 25, Write Ratio: 80%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5580] 02 Apr 20:11:42.049 . file.c:65 Mapping of 521629 bytes for testdb/si/1/1.sst
[5580] 02 Apr 20:11:42.049 - sst_loader.c:183 Index @ offset: 497873 size: 23684
[5580] 02 Apr 20:11:42.049 - sst_loader.c:184 Meta Block @ offset: 497801 size: 72
[5580] 02 Apr 20:11:42.049 . sst_loader.c:201 Data size:        476829
[5580] 02 Apr 20:11:42.049 . sst_loader.c:203 Index size:       0
[5580] 02 Apr 20:11:42.049 . sst_loader.c:204 Key size:         212576
[5580] 02 Apr 20:11:42.049 . sst_loader.c:205 Num blocks size:  988
[5580] 02 Apr 20:11:42.049 . sst_loader.c:206 Num entries size: 13286
[5580] 02 Apr 20:11:42.049 . sst_loader.c:207 Value size:       3952000
[5580] 02 Apr 20:11:42.049 . sst_loader.c:210 Filter size:      20972
[5580] 02 Apr 20:11:42.049 . sst_loader.c:211 Bloom offset 476829 size: 20972
[5580] 02 Apr 20:11:42.050 . sst.c:635 Compaction of 13286 elements finished
[5580] 02 Apr 20:11:42.050 - file.c:170 Truncating file testdb/si/manifest to 80 bytes
